排名,召唤师,段位,LP,常用英雄,等级,总场数,胜场,负场,胜率
64,monkey30000#Lyff,Challenger,879,英勇投弹手/探险家/爆破鬼才,1408,347,197,150,57%
65,Rabbit#Owen,Challenger,877,暴走萝莉/酒桶/探险家,719,732,367,365,50%
66,bountyxd#777,Challenger,875,天启者/深海泰坦/牛头酋长,211,350,192,158,55%
67,Sushee#NA1,Challenger,874,暗夜猎手/不破之誓/圣枪游侠,1482,510,285,225,56%
68,TTVHEXerathtv#xerth,Challenger,871,远古巫灵/深渊巨口/皮城女警,149,732,410,322,56%
69,Tactical0#NA1,Challenger,870,探险家/不破之誓/英勇投弹手,497,258,155,103,60%
70,Rustgod12#00000,Challenger,870,狂野女猎手/涤魂圣枪/深海泰坦,818,548,291,257,53%
71,SτΨαi#STR,Challenger,869,双界灵兔/星界游神/未来守护者,616,347,187,160,54%
72,Exuan#xyi,Challenger,868,影流之镰/德邦总管/虚空掠夺者,661,513,274,239,53%
73,Nikkone#NA1,Challenger,867,费德提克/虚空掠夺者/战争之影,984,385,221,164,57%
74,Kenvi#000,Challenger,867,未来守护者/法外狂徒/铁血狼母,540,616,343,273,56%
75,Skyy#NA11,Challenger,867,符文法师/流光镜影/双界灵兔,516,897,478,419,53%
76,fliptik#skbdi,Challenger,866,青钢影/狂战士/荒漠屠夫,859,860,462,398,54%
77,SilentRestraint#999,Challenger,863,兽灵行者/潮汐海灵/法外狂徒,68,351,201,150,57%
78,pentaless#NA4,Challenger,863,雪原双子/上古领主/亡灵战神,92,336,192,144,57%
79,Rhaastie#fan,Challenger,863,放逐之刃/铁血狼母/暗夜猎手,400,550,309,241,56%
80,JotaroKujo#NA2,Challenger,860,影流之主/虚空之眼/未来守护者,222,378,216,162,57%
81,Zven#S16XD,Challenger,859,探险家/英勇投弹手/不破之誓,1242,526,304,222,58%
82,gh434#yone,Challenger,855,封魔剑魂/疾风剑豪/虚空之女,70,348,190,158,55%
83,Levitate#1v9,Challenger,854,炽炎雏龙/英勇投弹手/涤魂圣枪,737,449,249,200,55%
84,qi song#0204,Challenger,854,亡灵战神/永恒梦魇/虚空遁地兽,219,653,337,316,52%
85,trapped inside#NA1,Challenger,845,残月之肃/探险家/麦林炮手,268,353,216,137,61%
86,Zwag#Faker,Challenger,844,远古巫灵/时光守护者/复仇焰魂,275,170,96,74,56%
87,Sym#Sym,Challenger,841,暗黑元首/离群之刺/符文法师,1223,379,197,182,52%
88,DaddyVladdy#BIG,Challenger,840,猩红收割者/天启者/封魔剑魂,470,451,281,170,62%
89,FeedaBoi#NA1,Challenger,838,暴怒骑士/荒漠屠夫/百裂冥犬,863,182,118,64,65%
90,reflex#002,Challenger,836,放逐之刃/亡灵战神/正义天使,61,293,200,93,68%
91,HHH8N#H8N,Challenger,834,战争女神/圣枪游侠/皮城女警,561,155,87,68,56%
92,for river#lily,Challenger,833,虚空掠夺者/法外狂徒/影流之主,617,234,149,85,64%
93,mars#focus,Challenger,831,元素女皇/暮光星灵/解脱者,157,519,308,211,59%
94,TTVbigserori#rank1,Challenger,830,不祥之刃/远古巫灵/邪恶小法师,144,674,340,334,50%
95,LegitKorea#NA1,Challenger,829,九尾妖狐/发条魔灵/暗黑元首,762,484,281,203,58%
96,cyw#NA1,Challenger,828,虚空之眼/皮城女警/潮汐海灵,461,218,139,79,64%
97,Boybebui#NA1,Challenger,827,翠神/探险家/唤潮鲛姬,53,252,160,92,63%
98,宿命敲#lumi,Challenger,826,暴走萝莉/探险家/皮城女警,106,206,125,81,61%
99,Flow#THZ,Challenger,826,发条魔灵/沙漠皇帝/冰晶凤凰,1141,587,308,279,52%
100,Omi#Brooo,Challenger,826,虚空之女/戏命师/探险家,362,331,198,133,60%
