#,召唤师,段位,LP,常用英雄,等级,胜场,负场,胜率
86,Zwag#Faker,Challenger,844,远古巫灵/时光守护者/复仇焰魂,275,96,74,56%
87,Sym#Sym,Challenger,841,暗黑元首/离群之刺/符文法师,1223,197,182,52%
88,DaddyVladdy#BIG,Challenger,840,猩红收割者/天启者/封魔剑魂,470,281,170,62%
89,FeedaBoi#NA1,Challenger,838,暴怒骑士/荒漠屠夫/百裂冥犬,863,118,64,65%
90,reflex#002,Challenger,836,放逐之刃/亡灵战神/正义天使,61,200,93,68%
91,HHH8N#H8N,Challenger,834,战争女神/圣枪游侠/皮城女警,561,87,68,56%
92,for river#lily,Challenger,833,虚空掠夺者/法外狂徒/影流之主,617,149,85,64%
93,mars#focus,Challenger,831,元素女皇/暮光星灵/解脱者,157,308,211,59%
94,TTVbigserori#rank1,Challenger,830,不祥之刃/远古巫灵/邪恶小法师,144,340,334,50%
95,LegitKorea#NA1,Challenger,829,九尾妖狐/发条魔灵/暗黑元首,762,281,203,58%
96,cyw#NA1,Challenger,828,虚空之眼/皮城女警/潮汐海灵,461,139,79,64%
97,Boybebui#NA1,Challenger,827,翠神/探险家/唤潮鲛姬,53,160,92,63%
98,宿命敲#lumi,Challenger,826,暴走萝莉/探险家/皮城女警,106,125,81,61%
99,Flow#THZ,Challenger,826,发条魔灵/沙漠皇帝/冰晶凤凰,1141,308,279,52%
100,Omi#Brooo,Challenger,826,虚空之女/戏命师/探险家,362,198,133,60%
